"source","EpiWeek","DateMin","DateMax","LGA","Lat","Lon","ConfCases"
"https://ncdc.gov.ng/data",14,2017-04-03,2017-04-09,"Tudun Wada",11.2477862,8.3829592,3
"https://ncdc.gov.ng/data",15,2017-04-10,2017-04-16,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",16,2017-04-17,2017-04-23,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",16,2017-04-17,2017-04-23,"Tudun Wada",11.2477862,8.3829592,2
"https://ncdc.gov.ng/data",17,2017-04-24,2017-04-30,NA,NA,NA,NA
"https://ncdc.gov.ng/data",18,2017-05-01,2017-05-07,"Barkin Ladi",9.5755425,8.5837171,1
"https://ncdc.gov.ng/data",19,2017-05-08,2017-05-14,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",19,2017-05-08,2017-05-14,"Akure South",7.2240233,5.0584892,1
"https://ncdc.gov.ng/data",19,2017-05-08,2017-05-14,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",20,2017-05-15,2017-05-21,NA,NA,NA,NA
"https://ncdc.gov.ng/data",21,2017-05-22,2017-05-28,"Owo",7.2007797,5.532668,2
"https://ncdc.gov.ng/data",22,2017-05-29,2017-06-04,"Owo",7.2007797,5.532668,3
"https://ncdc.gov.ng/data",22,2017-05-29,2017-06-04,"Akure South",7.2240233,5.0584892,1
"https://ncdc.gov.ng/data",23,2017-06-05,2017-06-11,"Owo",7.2007797,5.532668,5
"https://ncdc.gov.ng/data",23,2017-06-05,2017-06-11,"Akure South",7.2240233,5.0584892,1
"https://ncdc.gov.ng/data",23,2017-06-05,2017-06-11,"Jos North",9.9427289,8.8124815,1
"https://ncdc.gov.ng/data",24,2017-06-12,2017-06-18,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",24,2017-06-12,2017-06-18,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",25,2017-06-19,2017-06-25,"Owo",7.2007797,5.532668,2
"https://ncdc.gov.ng/data",26,2017-06-26,2017-07-02,"Bokkos",9.2983739,8.9807638,1
"https://ncdc.gov.ng/data",26,2017-06-26,2017-07-02,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",26,2017-06-26,2017-07-02,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",26,2017-06-26,2017-07-02,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",27,2017-07-03,2017-07-09,"Owo",7.2007797,5.532668,4
"https://ncdc.gov.ng/data",27,2017-07-03,2017-07-09,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",28,2017-07-10,2017-07-16,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",28,2017-07-10,2017-07-16,"Akure South",7.2240233,5.0584892,1
"https://ncdc.gov.ng/data",29,2017-07-17,2017-07-23,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",30,2017-07-24,2017-07-30,NA,NA,NA,NA
"https://ncdc.gov.ng/data",31,2017-07-31,2017-08-06,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",31,2017-07-31,2017-08-06,"Bokkos",9.2983739,8.9807638,1
"https://ncdc.gov.ng/data",32,2017-08-07,2017-08-13,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",33,2017-08-14,2017-08-20,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",34,2017-08-21,2017-08-27,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",35,2017-08-28,2017-09-03,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",36,2017-09-04,2017-09-10,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",36,2017-09-04,2017-09-10,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",37,2017-09-11,2017-09-17,NA,NA,NA,NA
"https://ncdc.gov.ng/data",38,2017-09-18,2017-09-24,NA,NA,NA,NA
"https://ncdc.gov.ng/data",39,2017-09-25,2017-10-01,NA,NA,NA,NA
"https://ncdc.gov.ng/data",40,2017-10-02,2017-10-08,NA,NA,NA,NA
"https://ncdc.gov.ng/data",41,2017-10-09,2017-10-15,"Owo",7.2007797,5.532668,2
"https://ncdc.gov.ng/data",42,2017-10-16,2017-10-22,NA,NA,NA,NA
"https://ncdc.gov.ng/data",43,2017-10-23,2017-10-29,NA,NA,NA,NA
"https://ncdc.gov.ng/data",44,2017-10-30,2017-11-05,NA,NA,NA,NA
"https://ncdc.gov.ng/data",45,2017-11-06,2017-11-12,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",45,2017-11-06,2017-11-12,"Mikang",9.0116421,9.4219342,1
"https://ncdc.gov.ng/data",45,2017-11-06,2017-11-12,"Langtang North",9.0478501,9.469974,1
"https://ncdc.gov.ng/data",46,2017-11-13,2017-11-19,NA,NA,NA,NA
"https://ncdc.gov.ng/data",47,2017-11-20,2017-11-26,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",47,2017-11-20,2017-11-26,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",47,2017-11-20,2017-11-26,"Akoko South West",7.40155,5.5107262,1
"https://ncdc.gov.ng/data",48,2017-11-27,2017-12-03,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",49,2017-12-04,2017-12-10,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",50,2017-12-11,2017-12-17,"Owo",7.2007797,5.532668,4
"https://ncdc.gov.ng/data",50,2017-12-11,2017-12-17,"Ose",7.0504103,5.4165517,1
"https://ncdc.gov.ng/data",51,2017-12-18,2017-12-24,"Owo",7.2007797,5.532668,1
"https://ncdc.gov.ng/data",52,2017-12-25,2017-12-31,NA,NA,NA,NA
