"url_bulletin","EpiWeek","DateMin","DateMax","SuspCases","ProbCases","ConfCases","ConfDeaths","CFR"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_28.pdf",27,2018-07-02,2018-07-08,28,0,7,3,"42.9"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_29.pdf",28,2018-07-09,2018-07-15,86,0,6,1,"16.7"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_30.pdf",29,2018-07-16,2018-07-22,37,0,6,3,"50.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_31.pdf",30,2018-07-23,2018-07-29,53,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_32.pdf",31,2018-07-30,2018-08-05,43,0,9,2,"22.2"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_33.pdf",32,2018-08-06,2018-08-12,44,0,4,1,"25.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_34.pdf",33,2018-08-13,2018-08-19,17,0,3,2,"66.7"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_35.pdf",34,2018-08-20,2018-08-26,39,0,3,2,"66.7"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_36.pdf",35,2018-08-27,2018-09-02,32,0,5,1,"20.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_37.pdf",36,2018-09-03,2018-09-09,49,0,7,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_38.pdf",37,2018-09-10,2018-09-16,44,0,2,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_39.pdf",38,2018-09-17,2018-09-23,17,0,4,1,"25.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_40.pdf",39,2018-09-24,2018-09-30,47,0,4,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_41.pdf",40,2018-10-01,2018-10-07,25,5,9,1,"11.1"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_42.pdf",41,2018-10-08,2018-10-14,58,1,13,2,"15.4"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_43.pdf",42,2018-10-15,2018-10-21,55,0,3,2,"66.7"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_44.pdf",43,2018-10-22,2018-10-28,73,1,9,2,"22.2"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_45.pdf",44,2018-10-29,2018-11-04,116,0,5,2,"40.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_46.pdf",45,2018-11-05,2018-11-11,66,0,5,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_47.pdf",46,2018-11-12,2018-11-18,70,0,3,1,"33.3"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_48.pdf",47,2018-11-19,2018-11-25,56,0,6,0,"0.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_49.pdf",48,2018-11-26,2018-12-02,87,0,13,3,"23.1"
NA,49,2018-12-03,2018-12-09,NA,NA,NA,NA,NA
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_50.pdf",50,2018-12-10,2018-12-16,125,2,20,8,"40.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_51.pdf",51,2018-12-17,2018-12-23,87,0,14,7,"50.0"
"https://github.com/fbranda/lassa-fever/blob/main/bulletins/2018/Lassa_2018_52.pdf",52,2018-12-24,2018-12-30,57,1,22,5,"22.7"
